album,artist,song,date_time_CST,date_CST,weekday_num,weekday,time_CST
Easy on Me,Adele,Easy on Me,2022-01-01T01:30:00,2022-01-01,7,Saturday,01:30
Summertime Dream,Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,2022-01-02T13:50:00,2022-01-02,1,Sunday,13:50
Album 1700,Peter Paul and Mary,Leaving On A Jet Plane,2022-01-02T13:56:00,2022-01-02,1,Sunday,13:56
Joan Armatrading,Joan Armatrading,Down To Zero,2022-01-02T14:00:00,2022-01-02,1,Sunday,14:00
Baez Sings Dylan,Joan Baez,It Ain't Me Babe,2022-01-02T14:04:00,2022-01-02,1,Sunday,14:04
The Essential John Denver,John Denver,Take Me Home Country Roads,2022-01-02T14:07:00,2022-01-02,1,Sunday,14:07
Harvest (2009 Remaster),Neil Young,Heart of Gold - 2009 Remaster,2022-01-02T14:10:00,2022-01-02,1,Sunday,14:10
Fleetwood Mac,Fleetwood Mac,Landslide,2022-01-02T14:13:00,2022-01-02,1,Sunday,14:13
Harvest Moon,Neil Young,Harvest Moon,2022-01-02T14:17:00,2022-01-02,1,Sunday,14:17
Sweet Baby James,James Taylor,Sweet Baby James - 2019 Remaster,2022-01-02T14:22:00,2022-01-02,1,Sunday,14:22
Sundown,Gordon Lightfoot,Sundown,2022-01-02T14:25:00,2022-01-02,1,Sunday,14:25
Ladies of the Canyon,Joni Mitchell,Big Yellow Taxi,2022-01-02T14:29:00,2022-01-02,1,Sunday,14:29
Tea For The Tillerman,Yusuf / Cat Stevens,Miles From Nowhere,2022-01-02T14:31:00,2022-01-02,1,Sunday,14:31
A Carnival of Fears,Yellow House,Love in the Time of Socialism,2022-01-02T14:39:00,2022-01-02,1,Sunday,14:39
RKS,Rainbow Kitten Surprise,Cocaine Jesus,2022-01-02T14:43:00,2022-01-02,1,Sunday,14:43
Bluebird,Canyon City,Lost Sparks,2022-01-02T19:13:00,2022-01-02,1,Sunday,19:13
Through the Deep Dark Valley,The Oh Hellos,I Have Made Mistakes,2022-01-02T19:17:00,2022-01-02,1,Sunday,19:17
Evermore,Hollow Coves,Evermore,2022-01-02T19:21:00,2022-01-02,1,Sunday,19:21
Islands,Bear's Den,The Love We Stole,2022-01-02T19:25:00,2022-01-02,1,Sunday,19:25
Milo Greene,Milo Greene,Autumn Tree,2022-01-02T19:29:00,2022-01-02,1,Sunday,19:29
Punisher,Phoebe Bridgers,DVD Menu,2022-01-02T19:34:00,2022-01-02,1,Sunday,19:34
Punisher,Phoebe Bridgers,Garden Song,2022-01-02T19:35:00,2022-01-02,1,Sunday,19:35
Punisher,Phoebe Bridgers,Kyoto,2022-01-02T19:39:00,2022-01-02,1,Sunday,19:39
Punisher,Phoebe Bridgers,Punisher,2022-01-02T19:42:00,2022-01-02,1,Sunday,19:42
Punisher,Phoebe Bridgers,Halloween,2022-01-02T19:45:00,2022-01-02,1,Sunday,19:45
