rank,name,city_state,city,state,acceptance_rate,price,SAT_range,SAT_low,SAT_high,region
1,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,MA,7,19998,1510-1580,1510,1580,New England
2,Stanford University,"Stanford, CA",Stanford,CA,5,20023,1420-1570,1420,1570,Far West
3,Harvard University,"Cambridge, MA",Cambridge,MA,5,18037,1460-1580,1460,1580,New England
4,Yale University,"New Haven, CT",New Haven,CT,7,17511,1460-1580,1460,1580,New England
5,Princeton University,"Princeton, NJ",Princeton,NJ,6,18685,1450-1570,1450,1570,Mid East
6,Rice University,"Houston, TX",Houston,TX,11,19215,1460-1570,1460,1570,Southwest
7,California Institute of Technology,"Pasadena, CA",Pasadena,CA,7,26591,1530-1580,1530,1580,Far West
8,Duke University,"Durham, NC",Durham,NC,8,26932,1470-1570,1470,1570,Southeast
9,Brown University,"Providence, RI",Providence,RI,8,27659,1440-1560,1440,1560,New England
10,Dartmouth College,"Hanover, NH",Hanover,NH,9,24525,1440-1560,1440,1560,New England
11,University of Pennsylvania,"Philadelphia, PA",Philadelphia,PA,9,24167,1460-1570,1460,1570,Mid East
12,Columbia University,"New York, NY",New York,NY,7,22126,1460-1570,1460,1570,Mid East
13,Vanderbilt University,"Nashville, TN",Nashville,TN,12,25804,1470-1570,1470,1570,Southeast
14,Northwestern University,"Evanston, IL",Evanston,IL,9,28344,1430-1550,1430,1550,Great Lakes
15,Washington University in St. Louis,"Saint Louis, MO",Saint Louis,MO,16,27233,1480-1560,1480,1560,Plains
16,University of Chicago,"Chicago, IL",Chicago,IL,7,36584,1500-1570,1500,1570,Great Lakes
17,Georgetown University,"Washington, DC",Washington,DC,17,30710,1380-1550,1380,1550,Mid East
18,Harvey Mudd College,"Claremont, CA",Claremont,CA,18,37192,1490-1570,1490,1570,Far West
19,University of Notre Dame,"Notre Dame, IN",Notre Dame,IN,19,29981,1400-1550,1400,1550,Great Lakes
20,Pomona College,"Claremont, CA",Claremont,CA,9,30392,1390-1540,1390,1540,Far West
21,Johns Hopkins University,"Baltimore, MD",Baltimore,MD,11,25241,1470-1560,1470,1560,Mid East
22,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,PA,17,36983,1460-1560,1460,1560,Mid East
23,Cornell University,"Ithaca, NY",Ithaca,NY,11,27522,1400-1540,1400,1540,Mid East
24,University of California - Los Angeles,"Los Angeles, CA",Los Angeles,CA,14,16474,,,,Far West
25,University of Michigan - Ann Arbor,"Ann Arbor, MI",Ann Arbor,MI,26,17832,1340-1520,1340,1520,Great Lakes
26,Georgia Institute of Technology,"Atlanta, GA",Atlanta,GA,21,17410,1370-1530,1370,1530,Southeast
27,University of Virginia,"Charlottesville, VA",Charlottesville,VA,23,19043,1320-1510,1320,1510,Southeast
28,University of Southern California,"Los Angeles, CA",Los Angeles,CA,16,39759,1340-1530,1340,1530,Far West
29,Claremont McKenna College,"Claremont, CA",Claremont,CA,13,22004,1330-1500,1330,1500,Far West
30,Bowdoin College,"Brunswick, ME",Brunswick,ME,9,25622,1360-1510,1360,1510,New England
31,Swarthmore College,"Swarthmore, PA",Swarthmore,PA,9,20360,1390-1540,1390,1540,Mid East
32,Barnard College,"New York, NY",New York,NY,14,30572,1350-1520,1350,1520,Mid East
33,Davidson College,"Davidson, NC",Davidson,NC,20,28615,1300-1460,1300,1460,Southeast
34,Emory University,"Atlanta, GA",Atlanta,GA,19,25672,1380-1530,1380,1530,Southeast
35,United States Military Academy at West Point,"West  Point, NY",West  Point,NY,9,,1210-1440,1210,1440,Mid East
36,Wellesley College,"Wellesley, MA",Wellesley,MA,20,21614,1350-1520,1350,1520,New England
37,Washington and Lee University,"Lexington, VA",Lexington,VA,25,27148,1350-1500,1350,1500,Southeast
38,Tufts University,"Medford, MA",Medford,MA,16,32720,1380-1530,1380,1530,New England
39,Boston College,"Chestnut Hill, MA",Chestnut Hill,MA,26,30192,1330-1500,1330,1500,New England
40,Amherst College,"Amherst, MA",Amherst,MA,12,18832,1430-1560,1430,1560,New England
41,University of Florida,"Gainesville, FL",Gainesville,FL,31,10075,1290-1460,1290,1460,Southeast
42,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,NC,25,10038,1280-1490,1280,1490,Southeast
43,Williams College,"Williamstown, MA",Williamstown,MA,15,22356,1410-1550,1410,1550,New England
44,Middlebury College,"Middlebury, VT",Middlebury,VT,22,24517,1340-1520,1340,1520,New England
