,rank,name,city_state,city,state,acceptance,price,SAT_range,SAT_low,SAT_high
0,1,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,MA,7,19998.0,1510-1580,1510.0,1580.0
1,2,Stanford University,"Stanford, CA",Stanford,CA,5,20023.0,1420-1570,1420.0,1570.0
2,3,Harvard University,"Cambridge, MA",Cambridge,MA,5,18037.0,1460-1580,1460.0,1580.0
3,4,Yale University,"New Haven, CT",New Haven,CT,7,17511.0,1460-1580,1460.0,1580.0
4,5,Princeton University,"Princeton, NJ",Princeton,NJ,6,18685.0,1450-1570,1450.0,1570.0
5,6,Rice University,"Houston, TX",Houston,TX,11,19215.0,1460-1570,1460.0,1570.0
6,7,California Institute of Technology,"Pasadena, CA",Pasadena,CA,7,26591.0,1530-1580,1530.0,1580.0
7,8,Duke University,"Durham, NC",Durham,NC,8,26932.0,1470-1570,1470.0,1570.0
8,9,Brown University,"Providence, RI",Providence,RI,8,27659.0,1440-1560,1440.0,1560.0
9,10,Dartmouth College,"Hanover, NH",Hanover,NH,9,24525.0,1440-1560,1440.0,1560.0
10,11,University of Pennsylvania,"Philadelphia, PA",Philadelphia,PA,9,24167.0,1460-1570,1460.0,1570.0
11,12,Columbia University,"New York, NY",New York,NY,7,22126.0,1460-1570,1460.0,1570.0
12,13,Vanderbilt University,"Nashville, TN",Nashville,TN,12,25804.0,1470-1570,1470.0,1570.0
13,14,Northwestern University,"Evanston, IL",Evanston,IL,9,28344.0,1430-1550,1430.0,1550.0
14,15,Washington University in St. Louis,"Saint Louis, MO",Saint Louis,MO,16,27233.0,1480-1560,1480.0,1560.0
15,16,University of Chicago,"Chicago, IL",Chicago,IL,7,36584.0,1500-1570,1500.0,1570.0
16,17,Georgetown University,"Washington, DC",Washington,DC,17,30710.0,1380-1550,1380.0,1550.0
17,18,Harvey Mudd College,"Claremont, CA",Claremont,CA,18,37192.0,1490-1570,1490.0,1570.0
18,19,University of Notre Dame,"Notre Dame, IN",Notre Dame,IN,19,29981.0,1400-1550,1400.0,1550.0
19,20,Pomona College,"Claremont, CA",Claremont,CA,9,30392.0,1390-1540,1390.0,1540.0
20,21,Johns Hopkins University,"Baltimore, MD",Baltimore,MD,11,25241.0,1470-1560,1470.0,1560.0
21,22,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,PA,17,36983.0,1460-1560,1460.0,1560.0
22,23,Cornell University,"Ithaca, NY",Ithaca,NY,11,27522.0,1400-1540,1400.0,1540.0
23,24,University of California - Los Angeles,"Los Angeles, CA",Los Angeles,CA,14,16474.0,,,
24,25,University of Michigan - Ann Arbor,"Ann Arbor, MI",Ann Arbor,MI,26,17832.0,1340-1520,1340.0,1520.0
25,26,Georgia Institute of Technology,"Atlanta, GA",Atlanta,GA,21,17410.0,1370-1530,1370.0,1530.0
26,27,University of Virginia,"Charlottesville, VA",Charlottesville,VA,23,19043.0,1320-1510,1320.0,1510.0
27,28,University of Southern California,"Los Angeles, CA",Los Angeles,CA,16,39759.0,1340-1530,1340.0,1530.0
28,29,Claremont McKenna College,"Claremont, CA",Claremont,CA,13,22004.0,1330-1500,1330.0,1500.0
29,30,Bowdoin College,"Brunswick, ME",Brunswick,ME,9,25622.0,1360-1510,1360.0,1510.0
30,31,Swarthmore College,"Swarthmore, PA",Swarthmore,PA,9,20360.0,1390-1540,1390.0,1540.0
31,32,Barnard College,"New York, NY",New York,NY,14,30572.0,1350-1520,1350.0,1520.0
32,33,Davidson College,"Davidson, NC",Davidson,NC,20,28615.0,1300-1460,1300.0,1460.0
33,34,Emory University,"Atlanta, GA",Atlanta,GA,19,25672.0,1380-1530,1380.0,1530.0
34,35,United States Military Academy at West Point,"West  Point, NY",West  Point,NY,9,,1210-1440,1210.0,1440.0
35,36,Wellesley College,"Wellesley, MA",Wellesley,MA,20,21614.0,1350-1520,1350.0,1520.0
36,37,Washington and Lee University,"Lexington, VA",Lexington,VA,25,27148.0,1350-1500,1350.0,1500.0
37,38,Tufts University,"Medford, MA",Medford,MA,16,32720.0,1380-1530,1380.0,1530.0
38,39,Boston College,"Chestnut Hill, MA",Chestnut Hill,MA,26,30192.0,1330-1500,1330.0,1500.0
39,40,Amherst College,"Amherst, MA",Amherst,MA,12,18832.0,1430-1560,1430.0,1560.0
40,41,University of Florida,"Gainesville, FL",Gainesville,FL,31,10075.0,1290-1460,1290.0,1460.0
41,42,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,NC,25,10038.0,1280-1490,1280.0,1490.0
42,43,Williams College,"Williamstown, MA",Williamstown,MA,15,22356.0,1410-1550,1410.0,1550.0
43,44,Middlebury College,"Middlebury, VT",Middlebury,VT,22,24517.0,1340-1520,1340.0,1520.0
44,45,Northeastern University,"Boston, MA",Boston,MA,20,37738.0,1410-1540,1410.0,1540.0
45,46,University of Texas - Austin,"Austin, TX",Austin,TX,32,16892.0,1210-1470,1210.0,1470.0
46,47,Boston University,"Boston, MA",Boston,MA,20,29154.0,1310-1500,1310.0,1500.0
47,48,University of California - Berkeley,"Berkeley, CA",Berkeley,CA,17,19329.0,1310-1530,1310.0,1530.0
48,49,Wake Forest University,"Winston-salem, NC",Winston-salem,NC,32,26324.0,1270-1410,1270.0,1410.0
49,50,New York University,"New York, NY",New York,NY,21,45417.0,1370-1540,1370.0,1540.0
50,51,Haverford College,"Haverford, PA",Haverford,PA,18,25215.0,1360-1520,1360.0,1520.0
51,52,University of Georgia,"Athens, GA",Athens,GA,48,16580.0,1250-1460,1250.0,1460.0
52,53,University of Wisconsin,"Madison, WI",Madison,WI,57,14030.0,1260-1460,1260.0,1460.0
53,54,Colgate University,"Hamilton, NY",Hamilton,NY,27,25935.0,1300-1470,1300.0,1470.0
54,55,Babson College,"Wellesley, MA",Wellesley,MA,27,31559.0,1270-1450,1270.0,1450.0
55,56,Bates College,"Lewiston, ME",Lewiston,ME,14,26451.0,1385-1460,1385.0,1460.0
56,57,University of Miami,"Coral Gables, FL",Coral Gables,FL,33,31726.0,1250-1420,1250.0,1420.0
57,58,Hamilton College,"Clinton, NY",Clinton,NY,18,23936.0,1380-1510,1380.0,1510.0
58,59,University of Illinois Urbana-Champaign,"Urbana, IL",Urbana,IL,63,13517.0,1200-1460,1200.0,1460.0
59,60,Tulane University,"New Orleans, LA",New Orleans,LA,11,47413.0,1340-1500,1340.0,1500.0
60,61,Florida State University,"Tallahassee, FL",Tallahassee,FL,32,12815.0,1220-1350,1220.0,1350.0
61,62,Lehigh University,"Bethlehem, PA",Bethlehem,PA,50,29098.0,1260-1430,1260.0,1430.0
62,63,William & Mary,"Williamsburg, VA",Williamsburg,VA,42,18588.0,1300-1490,1300.0,1490.0
63,64,Penn State,"University Park, PA",University Park,PA,56,26151.0,1160-1360,1160.0,1360.0
64,65,Case Western Reserve University,"Cleveland, OH",Cleveland,OH,30,36002.0,1340-1520,1340.0,1520.0
65,66,University of California - Irvine,"Irvine, CA",Irvine,CA,30,13106.0,1230-1430,1230.0,1430.0
66,67,Colby College,"Waterville, ME",Waterville,ME,10,18552.0,1380-1520,1380.0,1520.0
67,68,Virginia Tech,"Blacksburg, VA",Blacksburg,VA,66,20247.0,1170-1370,1170.0,1370.0
68,69,Villanova University,"Villanova, PA",Villanova,PA,31,38303.0,1320-1460,1320.0,1460.0
69,70,University of Washington,"Seattle, WA",Seattle,WA,56,9661.0,1200-1470,1200.0,1470.0
70,71,Wesleyan University,"Middletown, CT",Middletown,CT,21,22845.0,1300-1480,1300.0,1480.0
